company_id,scenario,employee_id,candidate_id,first_name,last_name,full_name,gender,city_name,high_school_name,college_name,department_id,manager_id,role_level,age,years_experience,education_level,high_school_gpa,college_gpa,referral_flag,family_link_flag,close_family_relation_flag,same_high_school_flag,same_city_flag,same_college_flag,same_last_name_flag,connection_strength,merit_score,discretionary_channel,tenure_months,performance_score,salary,promoted_flag,months_to_promotion,tenure_years,high_performer_flag,salary_band,performance_salary_gap,is_high_connection,promotion_eligible_flag
MER-01,Merit-based,EMER0100010,CMER0100010,Lihi,Levi,Lihi Levi,Female,Haifa,Hogim High School,University of Haifa,D02,EMER0100125,2,29,4,Bachelor,83.2,78.4,1,0,0,1,1,1,0,0.49,84.5,legacy_referral,22,73.3,15000.0,0,,1.8333333333333333,0,1,-3850.0,1,0
MER-01,Merit-based,EMER0100024,CMER0100024,Noam,Peretz,Noam Peretz,Male,Haifa,The Hebrew Reali School,The Open University of Israel,D03,EMER0100151,3,40,15,Master,93.1,78.4,0,0,0,1,1,1,0,0.38,80.2,legacy_referral,45,71.6,22600.0,0,,3.75,0,2,0.0,1,0
MER-01,Merit-based,EMER0100079,CMER0100079,Adi,Levi,Adi Levi,Female,Petah Tikva,Amit Bar Ilan Petah Tikva,,D02,EMER0100125,3,36,16,High School,78.9,,0,0,0,0,0,0,0,0.07,81.1,none,70,67.9,22800.0,0,,5.833333333333333,0,2,1860.0,1,1
MER-01,Merit-based,EMER0100102,CMER0100102,Yael,Ohayon,Yael Ohayon,Female,Haifa,The Hebrew Reali School,University of Haifa,D01,EMER0100213,4,48,23,Bachelor,83.6,80.5,1,0,0,0,1,0,1,0.28,84.3,manager_endorsement,43,74.3,33400.0,0,,3.5833333333333335,0,4,-2075.0,1,0
MER-01,Merit-based,EMER0100115,CMER0100115,Amit,Dahan,Amit Dahan,Female,Herzliya,The New High School Herzliya,Reichman University,D03,EMER0100151,3,37,14,Bachelor,83.0,79.1,0,0,0,0,0,0,0,0.13,82.9,none,39,61.9,21500.0,0,,3.25,0,1,0.0,1,0
MER-01,Merit-based,EMER0100125,CMER0100125,Adi,Biton,Adi Biton,Female,Haifa,Hogim High School,University of Haifa,D02,EMER0100213,4,40,17,Bachelor,82.2,84.3,1,0,0,0,1,0,0,0.23,87.1,manager_endorsement,59,69.8,33300.0,0,,4.916666666666667,0,4,5200.0,1,0
MER-01,Merit-based,EMER0100135,CMER0100135,Amit,Biton,Amit Biton,Male,Holon,Ironi Gimel Holon,Bar-Ilan University,D03,EMER0100151,3,33,10,Bachelor,100.0,79.5,0,0,0,0,0,0,0,0.07,89.2,none,55,90.4,24500.0,0,,4.583333333333333,1,3,0.0,1,0
MER-01,Merit-based,EMER0100151,CMER0100151,Maya,Katz,Maya Katz,Female,Haifa,The Hebrew Reali School,Technion,D03,EMER0100213,4,42,19,Bachelor,84.4,90.0,0,0,0,0,1,0,0,0.06,87.8,internal_source,64,76.1,34300.0,0,,5.333333333333333,1,4,8360.0,1,1
MER-01,Merit-based,EMER0100213,CMER0100213,Hila,Shapiro,Hila Shapiro,Female,Jerusalem,Gymnasia Rehavia,,EXEC,,5,42,23,High School,95.0,,0,0,0,0,0,0,0,0.16,95.5,none,97,87.9,54700.0,0,,8.083333333333334,1,4,0.0,1,1
MER-01,Merit-based,EMER0100225,CMER0100225,Dana,Avraham,Dana Avraham,Female,Rishon LeZion,Ironi Gimel Rishon LeZion,Bar-Ilan University,D01,EMER0100102,3,41,18,Bachelor,89.0,85.2,0,0,0,0,0,0,0,0.06,90.7,none,39,71.3,22400.0,0,,3.25,0,2,-5525.0,1,0
