company_id,scenario,department_id,headcount,family_link_share_calc,close_family_share,connected_employee_share_calc,promoted_share_connected,surname_concentration,city_concentration,school_concentration,college_concentration,same_high_school_share,same_city_share,same_college_share,same_last_name_share,headcount_feature,connected_employee_share,family_link_share,referral_share,promoted_share,avg_salary,avg_performance,avg_merit,manager_count,family_concentration_component,school_concentration_component,city_concentration_component,college_concentration_component,surname_concentration_component,connected_promotion_component,size_stability_factor,raw_nepotism_risk_score,department_nepotism_risk_score
HNR-13,High nepotism risk,D01,11,0.18181818181818182,0.0,1.0,0.1818,0.2727,1.0,0.6364,0.5455,1.0,1.0,0.3636,0.0,11,1.0,0.1818,0.9090909090909092,0.1818181818181818,20581.81818181818,59.88181818181818,76.41818181818182,2,0.1091,0.8473,1.0,0.4582,0.18,0.1818,1.0,0.5403,1.0
HNR-10,High nepotism risk,D01,9,0.4444444444444444,0.0,1.0,0.2222,0.3333,0.8889,0.4444,0.5,0.6667,0.8889,0.2222,0.3333,9,1.0,0.4444,0.7777777777777778,0.2222222222222222,19688.88888888889,65.26666666666667,79.52222222222223,2,0.2667,0.5733,0.8889,0.3667,0.3333,0.2222,0.9,0.464,0.8389
HNR-07,High nepotism risk,D03,8,0.375,0.125,1.0,0.125,0.25,1.0,0.5,0.5,0.75,0.875,0.375,0.125,8,1.0,0.375,1.0,0.125,21425.0,67.4875,79.3375,2,0.275,0.645,0.9475,0.44,0.2075,0.125,0.8,0.4276,0.762
MER-06,Merit-based,D01,9,0.1111111111111111,0.0,0.8888888888888888,0.25,0.2222,0.8889,0.6667,0.5,0.4444,0.8889,0.5556,0.1111,9,1.0,0.1111,0.3333333333333333,0.2222222222222222,23044.444444444445,72.62222222222222,82.16666666666667,2,0.0667,0.5378,0.8889,0.5267,0.1844,0.25,0.9,0.4153,0.736
HNR-15,High nepotism risk,D02,6,0.6666666666666666,0.0,1.0,0.1667,0.1667,1.0,0.8333,0.3333,1.0,1.0,0.3333,0.0,6,1.0,0.6667,0.6666666666666666,0.1666666666666666,21250.0,63.13333333333333,79.06666666666666,2,0.4,0.93,1.0,0.3333,0.11,0.1667,0.6,0.3701,0.6406
MOD-02,Moderate favoritism,D02,7,0.42857142857142855,0.0,1.0,0.2857,0.1429,1.0,0.4286,0.5,0.7143,0.8571,0.1429,0.0,7,1.0,0.4286,0.8571428571428571,0.2857142857142857,24100.0,67.9,82.41428571428571,2,0.2571,0.5943,0.94,0.3286,0.0943,0.2857,0.7,0.3538,0.6061
HNR-08,High nepotism risk,D02,7,0.42857142857142855,0.0,1.0,0.2857,0.2857,0.7143,0.4286,0.3333,0.7143,0.8571,0.5714,0.1429,7,1.0,0.4286,0.8571428571428571,0.2857142857142857,20771.42857142857,63.0,80.84285714285714,2,0.2571,0.5943,0.7743,0.4476,0.2371,0.2857,0.7,0.3532,0.6049
HNR-06,High nepotism risk,D03,8,0.25,0.0,0.875,0.0,0.25,0.875,0.5,0.4286,0.5,0.75,0.375,0.125,8,1.0,0.25,0.75,0.0,23800.0,67.7625,83.0875,2,0.15,0.5,0.8225,0.4029,0.2075,0.0,0.8,0.3508,0.5999
HNR-05,High nepotism risk,D01,7,0.42857142857142855,0.0,1.0,0.1429,0.1429,0.7143,0.4286,0.3333,0.8571,0.8571,0.0,0.0,7,1.0,0.4286,0.7142857142857143,0.1428571428571428,21785.714285714286,62.31428571428571,78.51428571428572,2,0.2571,0.6771,0.7743,0.1733,0.0943,0.1429,0.7,0.3278,0.5512
MOD-03,Moderate favoritism,D03,6,0.6666666666666666,0.0,1.0,0.1667,0.1667,0.8333,0.5,0.5,0.6667,0.6667,0.5,0.0,6,1.0,0.6667,0.5,0.1666666666666666,23383.33333333333,71.95,84.5,2,0.4,0.5967,0.7633,0.5,0.11,0.1667,0.6,0.3194,0.5335
