company_id,scenario,manager_id,headcount,connected_employee_share,family_link_share,referral_share,promoted_share,avg_salary,avg_performance,avg_merit,manager_full_name,manager_department_id,manager_nepotism_risk_score,surname_concentration,city_concentration,school_concentration,college_concentration,promoted_share_connected,raw_nepotism_risk_score,anomaly_score,anomaly_rank,is_anomalous,model_feature_count,model_features_used
HNR-03,High nepotism risk,EHNR0300287,1,1.0,1.0,1.0,1.0,23300.0,71.3,67.2,Ofir Cohen,D02,0.4245,1.0,1.0,1.0,1.0,1.0,0.3298,1.0,1,1,15,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_nepotism_risk_score"
MOD-02,Moderate favoritism,EMOD0200007,1,1.0,1.0,0.0,1.0,22400.0,69.2,94.0,Dana Haddad,D01,0.1899,1.0,1.0,1.0,0.0,1.0,0.1952,0.9807,2,1,15,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_nepotism_risk_score"
HNR-11,High nepotism risk,EHNR1100185,8,1.0,0.375,0.875,0.375,22987.5,71.475,79.5,Daniel Dahan,D01,0.9309,0.375,0.875,0.875,0.5,0.375,0.6206,0.8487,3,1,15,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_nepotism_risk_score"
MER-05,Merit-based,EMER0500214,2,0.5,0.0,0.0,0.5,23500.0,80.75,89.9,Yair Amar,D02,0.009,0.5,0.5,0.5,1.0,0.0,0.0913,0.7935,4,1,15,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_nepotism_risk_score"
HNR-10,High nepotism risk,EHNR1000225,6,1.0,0.6666666666666666,1.0,0.0,18400.0,62.61666666666667,74.63333333333334,Lior Peretz,D02,1.0,0.3333,0.8333,0.8333,0.4,0.0,0.6603,0.7918,5,1,15,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_nepotism_risk_score"
HNR-15,High nepotism risk,EHNR1500041,2,1.0,0.5,0.5,0.5,12650.0,69.9,66.45,Omer Hassan,D01,0.2026,0.5,1.0,1.0,0.0,0.5,0.2024,0.7714,6,1,15,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_nepotism_risk_score"
HNR-14,High nepotism risk,EHNR1400116,13,1.0,0.3076923076923077,0.8461538461538461,0.2307692307692307,19838.46153846154,64.09230769230768,75.81538461538462,Yair Malka,D02,0.7275,0.1538,0.8462,0.6923,0.4,0.25,0.5038,0.7426,7,1,15,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_nepotism_risk_score"
MER-04,Merit-based,EMER0400106,3,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,35100.0,78.06666666666666,84.46666666666667,Ariel Vaknin,EXEC,0.2462,0.3333,0.3333,0.3333,1.0,0.6667,0.2275,0.7116,8,1,15,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_nepotism_risk_score"
MOD-02,Moderate favoritism,EMOD0200208,1,1.0,1.0,0.0,0.0,9300.0,54.1,78.7,Omer Levi,D03,0.3382,1.0,1.0,1.0,1.0,0.0,0.2803,0.6555,9,1,15,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_nepotism_risk_score"
HNR-05,High nepotism risk,EHNR0500225,1,1.0,0.0,1.0,0.0,9400.0,54.1,62.0,Gal Mizrahi,D01,0.2007,1.0,1.0,1.0,1.0,0.0,0.2013,0.6354,10,1,15,"headcount, connected_employee_share, family_link_share, referral_share, promoted_share, avg_salary, avg_performance, avg_merit, surname_concentration, city_concentration, school_concentration, college_concentration, promoted_share_connected, raw_nepotism_risk_score, manager_nepotism_risk_score"
