company_id,scenario,manager_id,headcount,family_link_share_calc,close_family_share,connected_employee_share_calc,promoted_share_connected,surname_concentration,city_concentration,school_concentration,college_concentration,same_high_school_share,same_city_share,same_college_share,same_last_name_share,headcount_feature,connected_employee_share,family_link_share,referral_share,promoted_share,avg_salary,avg_performance,avg_merit,manager_full_name,manager_department_id,family_concentration_component,school_concentration_component,city_concentration_component,college_concentration_component,surname_concentration_component,connected_promotion_component,size_stability_factor,raw_nepotism_risk_score,manager_nepotism_risk_score
HNR-07,High nepotism risk,EHNR0700239,7,0.42857142857142855,0.1429,1.0,0.1429,0.2857,1.0,0.5714,0.5714,0.7143,0.8571,0.2857,0.1429,7,1.0,0.4286,1.0,0.1428571428571428,19600.0,66.71428571428571,76.82857142857142,Assaf Ohayon,D03,0.3143,0.6543,0.94,0.4343,0.2371,0.1429,1.0,0.5489,1.0
HNR-13,High nepotism risk,EHNR1300047,10,0.1,0.0,1.0,0.2,0.3,1.0,0.6,0.5,1.0,1.0,0.3,0.0,10,1.0,0.1,0.9,0.2,19090.0,58.41,74.56,Adi Cohen,D01,0.06,0.832,1.0,0.404,0.198,0.2,1.0,0.5195,0.9365
MOD-02,Moderate favoritism,EMOD0200063,6,0.5,0.0,1.0,0.1667,0.1667,1.0,0.5,0.5,0.6667,0.8333,0.1667,0.0,6,1.0,0.5,0.8333333333333334,0.1666666666666666,22316.666666666668,67.18333333333334,80.61666666666666,Shira Peretz,D02,0.3,0.5967,0.93,0.34,0.11,0.1667,1.0,0.5117,0.9197
HNR-10,High nepotism risk,EHNR1000059,8,0.375,0.0,1.0,0.25,0.375,0.875,0.375,0.4,0.75,0.875,0.25,0.375,8,1.0,0.375,0.875,0.25,17800.0,64.4125,78.95,Amit Azoulay,D01,0.225,0.5925,0.875,0.328,0.375,0.25,1.0,0.5059,0.907
HNR-15,High nepotism risk,EHNR1500084,5,0.6,0.0,1.0,0.2,0.2,1.0,0.8,0.4,1.0,1.0,0.2,0.0,5,1.0,0.6,0.8,0.2,18920.0,61.94,75.52000000000001,Roni Avraham,D02,0.36,0.916,1.0,0.304,0.132,0.2,0.8333,0.5025,0.8998
HNR-05,High nepotism risk,EHNR0500054,6,0.5,0.0,1.0,0.1667,0.1667,0.8333,0.5,0.4,0.8333,0.8333,0.0,0.0,6,1.0,0.5,0.6666666666666666,0.1666666666666666,19983.33333333333,62.63333333333333,77.46666666666667,Eitan Peretz,D01,0.3,0.6933,0.8333,0.208,0.11,0.1667,1.0,0.4998,0.8938
HNR-08,High nepotism risk,EHNR0800305,6,0.5,0.0,1.0,0.3333,0.1667,0.6667,0.3333,0.3333,0.6667,0.8333,0.6667,0.1667,6,1.0,0.5,0.8333333333333334,0.3333333333333333,18583.33333333333,61.63333333333333,79.06666666666666,Ido Friedman,D02,0.3,0.5267,0.7367,0.4933,0.1667,0.3333,1.0,0.4997,0.8937
MER-06,Merit-based,EMER0600125,8,0.125,0.0,1.0,0.25,0.125,1.0,0.75,0.5,0.5,1.0,0.625,0.125,8,1.0,0.125,0.375,0.25,21575.0,71.2625,80.8625,Ido Katz,D01,0.075,0.605,1.0,0.56,0.125,0.25,1.0,0.4942,0.8818
MOD-03,Moderate favoritism,EMOD0300285,5,0.8,0.0,1.0,0.2,0.2,0.8,0.4,0.6,0.6,0.6,0.6,0.0,5,1.0,0.8,0.4,0.2,21360.0,72.9,84.36,Adi Cohen,D03,0.48,0.516,0.716,0.6,0.132,0.2,0.8333,0.4556,0.7984
HNR-06,High nepotism risk,EHNR0600216,7,0.2857142857142857,0.0,0.8571428571428571,0.0,0.2857,0.8571,0.4286,0.3333,0.4286,0.7143,0.4286,0.0,7,1.0,0.2857,0.7142857142857143,0.0,22500.0,67.04285714285714,81.04285714285713,Yarden Avraham,D03,0.1714,0.4286,0.7971,0.379,0.1886,0.0,1.0,0.4218,0.7254
MOD-16,Moderate favoritism,EMOD1600063,6,0.0,0.0,0.8333333333333334,0.0,0.3333,0.8333,0.8333,0.5,0.5,0.8333,0.1667,0.0,6,1.0,0.0,0.6666666666666666,0.0,21400.0,71.36666666666667,82.88333333333334,David Katz,D01,0.0,0.64,0.8333,0.34,0.22,0.0,1.0,0.4197,0.7209
HNR-02,High nepotism risk,EHNR0200272,5,0.4,0.2,1.0,0.2,0.2,0.6,0.4,0.6,0.4,1.0,0.6,0.4,5,1.0,0.4,0.8,0.2,19740.0,66.38,87.97999999999999,Daniel Dahan,D03,0.32,0.4,0.768,0.6,0.268,0.2,0.8333,0.4149,0.7105
HNR-04,High nepotism risk,EHNR0400192,6,0.16666666666666666,0.0,0.8333333333333334,0.0,0.1667,0.6667,0.6667,0.5,0.6667,0.6667,0.3333,0.0,6,0.8333,0.1667,0.5,0.0,16416.666666666668,61.25,77.3,Amit Sadeh,D01,0.1,0.6667,0.6667,0.42,0.11,0.0,1.0,0.4105,0.701
HNR-14,High nepotism risk,EHNR1400281,4,0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.5,0.75,1.0,0.25,0.0,4,1.0,0.5,1.0,0.0,22300.0,64.35,81.925,David Vaknin,D03,0.3,0.645,1.0,0.38,0.33,0.0,0.6667,0.3633,0.599
MOD-05,Moderate favoritism,EMOD0500111,5,0.0,0.0,0.8,0.25,0.2,1.0,0.6,0.6,0.4,0.8,0.0,0.0,5,1.0,0.0,0.4,0.2,20840.0,67.58,81.44,Daniel Amar,D01,0.0,0.484,0.916,0.312,0.132,0.25,0.8333,0.3386,0.5456
HNR-09,High nepotism risk,EHNR0900116,3,0.3333333333333333,0.0,1.0,0.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,1.0,0.3333,1.0,0.0,15466.666666666666,64.03333333333335,80.56666666666666,Eitan Malka,D01,0.2,1.0,1.0,1.0,0.22,0.0,0.5,0.3268,0.5201
MOD-16,Moderate favoritism,EMOD1600144,3,0.6666666666666666,0.0,1.0,0.0,0.3333,1.0,1.0,1.0,0.6667,1.0,0.6667,0.0,3,1.0,0.6667,0.6666666666666666,0.0,33066.666666666664,69.76666666666667,86.73333333333333,Maya Cohen,EXEC,0.4,0.8067,1.0,0.84,0.22,0.0,0.5,0.3259,0.5181
HNR-13,High nepotism risk,EHNR1300117,3,0.3333333333333333,0.0,1.0,0.3333,0.3333,1.0,0.6667,1.0,1.0,1.0,0.6667,0.6667,3,1.0,0.3333,0.6666666666666666,0.3333333333333333,34433.333333333336,75.56666666666666,93.1,Tomer Biton,EXEC,0.2,0.86,1.0,0.84,0.4467,0.3333,0.5,0.3223,0.5103
HNR-03,High nepotism risk,EHNR0300214,3,0.6666666666666666,0.3333,1.0,0.0,0.3333,1.0,0.6667,1.0,0.6667,0.6667,0.0,0.3333,3,1.0,0.6667,0.6666666666666666,0.0,17633.333333333332,58.73333333333333,71.43333333333334,Rotem Sharabi,D03,0.5333,0.6667,0.86,0.52,0.3333,0.0,0.5,0.3047,0.4723
